ISIN/CUSIP,Fund Name,Objective
OAAAX,Oppenheimer Active Allocation Fund,"The Fund seeks long-term growth of capital with a secondary objective of current income by allocating its assets with following target weightings: fixed income, 20%, U.S. equity, 40%  other asset classes, 5%  and tactical allocation component, 20% of net assets."
LAWAX,Ladenburg Aggressive Growth Fund,"The Fund seeks to maximize long-term growth of capital. The Fund's investment adviser seeks to achieve the Fund's investment objective by investing in a combination of equity, fixed income and alternative strategy exchange traded funds, exchange-traded notes and mutual funds (together, Underlying Funds)."
LOWAX,Ladenburg Growth & Income Fund,"The Fund seeks long-term growth of capital with a secondary objective of producing current income. The Fund's investment adviser seeks to achieve the Fund's investment objective by investing in a combination of equity, fixed income and alternative strategy exchange traded funds, exchange traded notes and mutual funds."
LGWAX,Ladenburg Growth Fund,"The Fund seeks long-term growth of capital. The Fund's investment adviser seeks to achieve the Fund's investment objective by investing in a combination of equity, fixed income and alternative strategy exchange traded funds (""ETFs""), exchange traded notes (ETNs) and mutual funds (together, Underlying Funds)."
LNOAX,Ladenburg Income & Growth Fund,"The Fund seeks to provide current income and capital preservation with a secondary objective of growth of capital. The Fund seeks to achieve the investment objective by investing in a combination of equity, fixed income and alternative strategy exchange traded funds, exchange traded notes and mutual funds."
LNCAX,Ladenburg Income Fund,"The Fund seeks to provide current income and capital preservation. The Fund's investment adviser seeks to achieve the Fund's investment objective by investing in a combination of equity, fixed income and alternative strategy exchange traded funds, exchange traded notes and mutual funds (together, Underlying Funds)."
MIND,LAM ZyFin MSCI India UCITS ETF (MIND),"Mind Gym Plc provides skill building and training services. It operates as a behavioural science business, which offers performance management, management development, diversity and inclusion, change, ethics, reorganization, personal effectiveness, on boarding, employee management, and customer service. The company was founded by Octavius Orlando Irvine Casati Black and Sebastian Mark Crampton Bailey in June 2000 and is headquartered in London, the United Kingdom."
LIMAX,Lateef Fund,The Fund seeks provide principal preservation and long-term capital appreciation. The Fund normally invests in the common stocks of approximately 15 to 25 mid- and large-cap companies.
RODM,Lattice Developed Markets (ex-US) Strategy ETF (RODM),"The Fund seeks to provide investment results that correspond to the total return performance of an index that tracks the performance of companies located in major developed markets of Europe, Canada and the Pacific Region. It tracks the performance of Lattice Risk-Optimized Developed Markets (ex-US) Strategy Index."
ROAM,Lattice Emerging Markets Strategy ETF (ROAM),"The Fund seeks to provide investment results that correspond to the total return performance of an index based upon the emerging markets of the world. It tracks the investment results of the Lattice Risk-Optimized Advancing Markets Strategy Index, which is comprised of companies domiciled within emerging market countries."
RORE,Lattice Real Estate Strategy ETF (RORE),"The Fund seeks to provide investment results that, before fees and expenses, correspond to the total return performance of an index that tracks the performance of publicly traded real estate investment trusts. The Fund seeks to track the investment results of the Lattice Risk-Optimized Real Estate Strategy Index."
ROUS,Lattice U.S. Equity Strategy ETF (ROUS),"The Fund seeks to provide investment results that, before fees and expenses, correspond to the total return performance of an index that tracks the performance of exchange traded U.S. equity securities. The Fund seeks to track the investment results of the Lattice Risk-Optimized US Large Cap Equity Strategy Index."
LGILX,Laudus US Large Cap Growth Fund (LGILX),"The Fund seeks to provide long-term capital appreciation.  Under normal circumstances, the Fund invests at least 80% of its net assets in equity securities of U.S. large capitalization companies. The Fund defines large capitalization companies as those with a market capitalization of at least $3 billion."
